arrival,flowID,packetsizeBytes
4.2985908935879425e-05,10,1500
4.31866107168269e-05,15203,64
4.4195790043553344e-05,9,596
4.55955513230565e-05,4,64
4.728862744399962e-05,1589,596
4.9324271276497546e-05,3,1500
4.936005429262635e-05,3,1500
4.998096381985593e-05,5230,596
5.096892999229278e-05,11,596
5.11411313862378e-05,18,1500
5.214231334708422e-05,9355,64
5.2342466973795686e-05,3,64
5.332759686807733e-05,5481,596
5.4223346270031385e-05,7341,596
5.4405181701882e-05,7,64
5.4578566717708275e-05,5,596
5.507374329476411e-05,7,1500
5.5506797354864386e-05,10610,64
5.568569879266907e-05,14382,1500
5.600070866004767e-05,15,64
5.6091169169594486e-05,2,596
5.720442784698577e-05,1266,1500
5.7740372029310895e-05,7,1500
5.77738691986593e-05,9,64
5.861634672973355e-05,13,64
5.8665743256040625e-05,5279,596
6.029354286738789e-05,13,1500
6.118072555036788e-05,8,596
6.149958951664309e-05,4,1500
6.22369277192072e-05,16,64
6.250734159791497e-05,12120,1500
6.268084972190673e-05,12900,1500
6.415548545932957e-05,10,1500
6.521644835376582e-05,5352,1500
6.522754845644803e-05,6800,64
6.590898416766683e-05,3,1500
6.682138786569879e-05,7703,1500
6.687262930873231e-05,11,1500
6.697070412910964e-05,7,1500
6.759624592313619e-05,10173,64
6.901785875327711e-05,7289,64
6.91022379547718e-05,19991,64
6.954135155944765e-05,3,1500
7.032852316717586e-05,12,1500
7.069083309547953e-05,11,1500
7.071007323023781e-05,10035,596
7.121830857967757e-05,3,64
7.132575570921954e-05,2,64
7.150498286535391e-05,18,1500
7.164307823026712e-05,17464,64
7.229367275387523e-05,13635,64
7.279555898157705e-05,12,1500
7.297687451136437e-05,16724,64
7.452985075935743e-05,3,1500
7.483990807569677e-05,15409,64
7.540437116041508e-05,11,596
7.562743904946764e-05,14,1500
7.60876434176018e-05,3,1500
7.616755056665007e-05,11,596
7.671232053967859e-05,5,1500
7.707805042504089e-05,4231,1500
7.83854712910621e-05,17,64
7.912348282386171e-05,13,1500
7.94877787260787e-05,7,596
7.991750607373492e-05,11733,64
7.995207881934613e-05,2510,64
8.019639418703343e-05,7943,64
8.026966305649945e-05,17713,596
8.071435852976165e-05,18549,596
8.112135027508368e-05,9263,1500
8.307359876486149e-05,17,1500
8.335515341442643e-05,12816,1500
8.366324799335365e-05,3,64
8.42035392313675e-05,13921,1500
8.579986130393335e-05,5,1500
8.675998837820174e-05,4,1500
8.749155257844086e-05,13171,64
8.79399903935155e-05,11749,1500
8.903640142709131e-05,18190,596
8.961658020284603e-05,19865,1500
9.201581907637687e-05,16292,596
9.418193193114964e-05,19,1500
9.541808134272977e-05,9,1500
9.54443260145905e-05,4309,596
9.593319220224452e-05,5,64
9.614677922427527e-05,17890,1500
9.673997692866205e-05,5705,64
9.731849042156752e-05,0,1500
9.740623056785236e-05,79,596
9.86259636226312e-05,12341,1500
9.920129898877775e-05,12117,64
9.935778593805549e-05,1,1500
9.990143206300529e-05,3686,596
0.00010014444748550809,15348,1500
0.00010052469917629323,18598,1500
0.00010104714966206425,8,1500
0.00010154677956331967,6247,64
0.00010207636674641319,17448,1500
0.00010259250012617757,7,1500
0.00010263825761888903,15,64
0.00010287080099322056,9479,1500
0.0001032534754653795,1672,1500
0.00010337724132926058,5904,596
0.00010355976523713229,4530,64
0.0001038994490517408,5960,596
0.00010468864668131727,14,1500
0.0001048789155721295,16517,64
0.00010765654877608993,8,1500
0.00010856588016045986,8875,1500
0.00010898326218903109,17714,1500
0.0001093292179584014,10989,1500
0.00011100364631711008,17,64
0.00011164863231235979,15705,64
0.00011349633501267754,10717,1500
0.00011355066462771707,5,596
0.00011488852778596649,0,1500
0.0001169973995099358,14415,596
0.00011727685588192984,9,596
0.00011833568138351467,11,64
0.0001187154356520875,4864,64
0.00011918220442039222,11,64
0.00012082513595262604,15,1500
0.00012085247040658237,5,1500
0.00012301038656854644,3,596
0.00012303922920496872,18,1500
0.0001232723062222059,19010,64
0.00012355435268990384,18450,1500
0.0001239989172300873,19923,596
0.0001242037659070141,4,1500
0.00012508753650216696,19380,596
0.00012611983009644495,5,64
0.00012625767869260476,3996,596
0.00012862729288385186,12,64
0.0001288095503994785,8262,1500
0.0001288118114506987,18022,1500
0.00013037756041235074,11,64
0.00013140322142561272,19828,1500
0.0001322161789194128,335,596
0.00013274804492931246,12953,1500
0.00013319637204753815,6073,64
0.00013433544874140836,0,64
0.00013653377429033992,13,64
0.00013800463909000398,18,1500
0.0001403584538485007,15,1500
0.0001419045028378,13,1500
0.00014209863826546078,10989,64
0.00014234380860062883,8608,1500
0.00014295522406644249,6,1500
0.00014303263296899042,15409,64
0.00014375599842282689,4427,1500
0.00014379493584602067,1,64
0.00014398602293218385,18411,596
0.0001449715700352967,9,1500
0.00014521885580252034,11,596
0.00014615547232461087,18,1500
0.00014673870245001384,17,64
0.00014750103974067196,13,1500
0.00014787982940566918,13,64
0.0001485478539970139,8,64
0.0001487810846815245,11,596
0.0001492102589510667,15298,64
0.00015321739649796432,16,64
0.0001533752210852376,15086,1500
0.00015492624550776811,17,1500
0.00015595129716926103,5368,596
0.00015683401460378623,8481,1500
0.0001570567886105299,1988,64
0.00015791344141934856,15,1500
0.00015817277215172897,10,1500
0.00015867233839280073,6,1500
0.0001591343278913629,5008,1500
0.00015919852019913547,18,64
0.00015963416844382022,14,1500
0.00016072107481706474,13566,64
0.00016148209831746608,15,596
0.00016215314848842135,7,64
0.0001629657587322897,1,1500
0.00016303052393916255,7710,64
0.00016323906113501852,14,64
0.00016377554758979684,19468,64
0.00016389658285271845,7,1500
0.00016395067386082177,5,1500
0.00016481713063348734,12898,1500
0.00016514266219383632,17,64
0.0001659242994617522,7,1500
0.00016752590096126004,1615,1500
0.00016877616547057259,16890,1500
0.00016948783500852287,12497,64
0.00017025320814778035,8782,1500
0.0001719593043636577,3,64
0.00017325959092702876,7473,1500
0.00017342822572309171,13139,1500
0.0001739137288914766,12303,1500
0.0001739540462767961,7,1500
0.00017480806716950115,14,596
0.00017504127996149587,17802,64
0.00017582921214006285,14255,64
0.00017702677728599256,3174,64
0.0001782614199366789,13743,596
0.00017855973882262546,12,1500
0.00017920926918393293,16,1500
0.00018058375919324788,8831,596
0.00018114793779974755,3,1500
0.000182034669286904,12,64
0.00018209121795543287,1,1500
0.00018657595882508427,18908,1500
0.00018676256188542028,1,1500
0.00018768707355097563,5,596
0.00018785107481069795,3,64
0.00018863790146181003,13,1500
0.00018981585264147297,2,596
0.00019058312887661885,10988,64
0.00019144974050828216,6,1500
0.0001916799971930724,2440,64
0.00019293431293943103,11,1500
0.00019423177777975247,16,1500
0.00019448448208350498,16,1500
0.00019539832356924627,5,1500
0.0001958254709663145,15,64
0.00019588670635876295,1364,1500
0.00019660306533615343,13,1500
0.0001967726023099235,18049,1500
0.00019773254452487972,12,1500
0.00019854736075720236,17448,1500
0.0001991135767020235,13,1500
0.00019949513161770857,6294,1500
0.00019998211608703113,7893,1500
0.00020258691819842315,4,596
0.0002031206745151243,15839,64
0.00020498317698961678,2235,1500
0.00020680268756417903,12,1500
0.00020772761534423143,14,1500
0.00020990869755790767,6096,1500
0.00020992300689906513,9,64
0.00021172844181364787,8,1500
0.00021248425064034643,16,596
0.0002126494541268207,13,1500
0.00021421774579572593,3449,64
0.00021503215314459383,18363,64
0.00021545858643965625,19499,1500
0.00021650687758682275,19568,1500
0.0002171679792294275,5406,1500
0.0002192393866544609,8,64
0.00022037731899734526,10,64
0.00022092196265423495,15986,1500
0.0002216717081070658,8959,1500
0.00022175099050971572,7372,1500
0.00022373992855167973,19909,1500
0.00022522992255429107,18,1500
0.00022577158205469022,7,1500
0.00022770948806259824,14,64
0.0002284685170429307,18598,64
0.0002288073215982148,2593,1500
0.00022920919112057498,19916,596
0.00022953418109540784,16311,1500
0.00023018918483627847,17488,1500
0.00023207219877257137,6,1500
0.00023223081021004415,11,1500
0.000233145189754664,7,1500
0.00023328781772075354,2718,1500
0.00023363750312535946,15,1500
0.00023540256043299573,9360,64
0.000235853814531795,10,1500
0.00023608519112214215,13225,1500
0.00023659327430979277,11996,64
0.00023672419339314374,3,596
0.00023731542738152805,12720,1500
0.0002409478188092595,10,596
0.00024119464152611684,9,64
0.00024129653102724914,10716,1500
0.0002417260473173217,16,64
0.00024197301567041837,14,1500
0.00024289551528019378,7999,1500
0.0002438787532916622,1841,596
0.00024394344918898174,13317,1500
0.0002442270814077309,2,1500
0.00024436663120156615,0,1500
0.00024458222533203864,14,1500
0.00024572705973238164,11743,1500
0.00024578170267305314,19,1500
0.00024628713380580344,307,1500
0.0002469378149959088,11,1500
0.0002494967280371523,3,64
0.000250248294170745,10,1500
0.00025031529210449747,10149,64
0.00025052584720773786,1154,64
0.0002514900582621918,19,64
0.0002521170364811633,5481,64
0.00025295182847662634,0,1500
0.00025488803805285377,8,1500
0.00025532216170103607,10684,1500
0.00025581518965509084,9332,1500
0.00025652072495348336,1022,64
0.00025686600501994026,4488,1500
0.0002585851407254144,4,1500
0.0002598255048161149,13115,1500
0.00026003403151159793,14,64
0.0002603351701313418,14,596
0.0002609017953065577,22,596
0.0002613789952691968,12297,1500
0.00026194475942130705,19618,1500
0.00026238362484519825,2849,1500
0.00026250966104487364,19,1500
0.00026296263618682896,17812,1500
0.00026315586542579846,11,1500
0.0002632774967025483,6923,1500
0.0002633989478470812,17802,64
0.0002636062429229915,8105,1500
0.00026405954463447465,12345,1500
0.0002654552308805087,2,1500
0.00026585714484843857,16258,596
0.0002668884169959779,2604,1500
0.00026856310314792996,6364,64
0.00026863849822286663,16,596
0.00026900962299499507,7,64
0.00026922646314221334,7886,1500
0.00026988248951444345,13,64
0.0002702470444257656,19309,1500
0.000270645469150832,1934,596
0.00027141628435699283,15,1500
0.0002717203436457713,7,64
0.000272145196221093,14940,596
0.00027266256681228294,4,64
0.0002731253375876193,1917,1500
0.0002737161278370842,15196,596
0.0002757422790338597,18262,596
0.0002761324865977327,15086,1500
0.00027714610747713524,16,64
0.00027756845945296874,19,1500
0.0002802801988520322,1,596
0.00028033124153062583,17,596
0.0002827419701717707,8,1500
0.00028296939782354277,14546,1500
0.00028319343757793303,14,596
0.0002836121304228203,7,596
0.00028376674563378423,7582,1500
0.00028469590749331553,2669,1500
0.0002873016204004604,19,1500
0.00028732408544831904,4005,596
0.00028736459790428535,3277,64
0.0002879205027673591,16,1500
0.00028906444304622293,8831,1500
0.0002904729294887277,7273,1500
0.00029195298288239385,5908,596
0.00029269993858994204,19,1500
0.00029446980447163124,5,64
0.0002954134220836228,839,1500
0.00029624671946022323,0,64
0.00029760025073446235,18310,596
0.0002982005828762044,3,596
0.0003003840815435762,13,1500
0.00030073624619581044,14,64
0.0003009902070872302,19759,64
0.00030264633523208596,772,596
0.0003040308372416334,10194,64
0.0003041400125314559,17,1500
0.0003047962039242258,12168,596
0.00030561640211338223,8,64
0.00030618330624711596,14,596
0.00030654301910609723,0,596
0.00030704670310872944,38,64
0.00030713054750381634,6156,1500
0.00030859935639418283,8,64
0.00030866791660114995,5016,64
0.0003089738406580444,6,64
0.00030987875021162603,693,64
0.00031046853844890986,10,64
0.00031103588131509174,19621,1500
0.0003113104786318238,9,64
0.0003118478228753366,3,1500
0.0003129453345270936,3,1500
0.00031301218247817384,19222,1500
0.00031352842736107566,19605,64
0.00031378462860642256,197,64
0.0003141715555151864,1375,1500
0.00031425663240115657,2,1500
0.00031442337954685974,618,1500
0.0003148063480370136,2,1500
0.0003151122355840976,16,1500
0.0003155269172434369,5108,1500
0.00031592211709599084,10001,1500
0.00031614348396940243,3,596
0.00031712262072194913,2116,596
0.0003171391313653101,17290,64
0.00031765189258986277,7738,596
0.00031776111365918396,15772,596
0.00031782153043315295,15967,1500
0.00031789880108336517,2,1500
0.0003186160924422073,0,596
0.00031882983824138876,16,596
0.0003195403504894333,9,1500
0.0003196004081750545,9,64
0.0003201310829810863,6,64
0.0003203864615722523,2197,1500
0.0003204516499846856,15238,596
0.0003212065205590153,19,64
0.0003219681623762007,15517,64
0.0003225578994566344,17,1500
0.0003232926059319565,15805,64
0.0003237038896158635,14382,64
0.0003240805896784205,14,1500
0.00032567485300981645,1,64
0.0003273432727375046,19902,596
0.00032844179466577975,11133,596
0.00032852273378594665,18310,596
0.0003296069006664223,2930,1500
0.00032985899743679845,9,64
0.00033003047016082573,13838,596
0.0003301358308210366,12,596
0.0003305867122770259,800,1500
0.0003308433557636989,11,64
0.00033096789222633995,16,64
0.00033117025844802106,13,596
0.0003312109883937766,8412,1500
0.0003314914235005338,11,64
0.0003327436954529896,2,1500
0.00033714284996450944,2366,64
0.0003390061354050636,3077,64
0.00033920383499018035,8374,1500
0.0003409379709420901,11,1500
0.0003435602601636805,17382,1500
0.0003446867144476695,2722,64
0.0003449471045920767,17946,1500
0.00034524236485893755,9112,64
0.0003455927282695514,4228,64
0.0003457266452314131,5801,1500
0.00034575750902117274,19991,64
0.00034649767623131956,4856,64
0.00034690737877253426,15348,1500
0.00034718258488371765,3940,596
0.00034776242802833646,18,1500
0.0003483184491848511,8,64
0.00034847624829483355,10,1500
0.0003485919870180777,3,64
0.0003501938866642865,3903,64
0.00035064479308375026,15,596
0.000351059627596565,19329,64
0.00035349731792146236,4,64
0.00035370833026243843,12,1500
0.00035413547895805946,3211,1500
0.0003550018585520572,5331,1500
0.000355747825770358,6,1500
0.0003568030403186585,13,596
0.00035686323367319843,9,64
0.00035754811253913574,9,64
0.0003578945886522627,5,64
0.00035846610095384055,8,1500
0.00035858827578756175,7582,64
0.000358918423381537,4,1500
0.0003589946485418607,3,596
0.00036033258431391316,3,1500
0.00036208098031397613,14970,64
0.00036376954246745063,6,64
0.0003639807105891557,17,1500
0.00036502685892487535,6049,64
0.00036563738968607246,752,596
0.000366171744943094,9860,596
0.00036676176438853663,3630,64
0.0003668812356216167,4899,1500
0.0003695749421300447,12387,1500
0.00036958936605248284,15,1500
0.0003702270120017719,6,1500
0.0003721936250268559,12345,1500
0.00037272189693845646,499,596
0.00037287046854761816,4,596
0.0003734787957084539,13,64
0.00037361708526302074,3729,1500
0.0003737223715404066,17397,596
0.0003742137289372306,3371,1500
0.00037545758541646156,1841,596
0.00037558549719314674,1518,1500
0.00037605183793970934,15563,64
0.00037657511923668534,3,64
0.000378617651255241,12931,64
0.0003790850891949907,18629,64
0.00037952370738955914,19,1500
0.0003809981169888229,9,1500
0.00038102914151266895,16713,1500
0.00038168567744957044,2012,1500
0.00038333096025059755,18,1500
0.00038368425093165525,6,1500
0.0003851905866400236,13132,1500
0.0003852735045467454,6955,1500
0.00038549543783661947,0,1500
0.0003856080336786396,12,64
0.00038603344870021634,12,596
0.0003860971396814183,13,1500
0.0003861583579706228,9,596
0.0003865202225971791,14356,1500
0.00038734793481392496,1,64
0.00038805527550665,19,64
0.0003881198851536946,5,64
0.000388357219711211,6543,64
0.0003886424145043882,7698,1500
0.0003887303928060843,19587,64
0.00038878112343756935,1589,1500
0.0003890717389000188,15,1500
0.0003906863070271599,19902,1500
0.0003910185711818692,6858,64
0.00039118543734833377,8,64
0.0003914680128386163,6,64
0.00039149480560801567,11,1500
0.00039266175253679784,4844,64
0.00039300782626386127,11,1500
0.00039307772141686513,10041,64
0.0003931425711015216,7,64
0.00039356234693928147,12,64
0.0003943630537226311,18232,1500
0.00039440837215143495,10988,1500
0.00039456636933319933,19864,1500
0.0003954245128077501,8,1500
0.0003954497224728787,5,1500
0.0003956097938340708,17,1500
0.0003960613282430489,17,596
0.0003964701854839976,8,64
0.00039731403979532476,15668,1500
0.0003985648719072901,2203,1500
0.0003987792488611866,9,1500
0.00040101179591873955,159,64
0.00040257925931869946,16,1500
0.000403523737914885,13712,64
0.0004047725228036466,11,1500
0.00040492523651551013,5,596
0.0004054607920651994,2829,64
0.0004070510888983691,4,596
0.00040727901048752055,15,64
0.000408137221591794,6156,1500
0.0004092923247908001,5568,1500
0.00040947168805024277,3,596
0.00041029827833529353,10438,1500
0.0004114885767511154,1,64
0.0004125215776178002,18,64
0.00041347220283882865,159,1500
0.00041423046323257434,9,1500
0.00041443770864259104,11,64
0.0004144949111096927,6,1500
0.00041493743327390464,8560,596
0.00041528229054748847,2313,1500
0.0004165114489613058,9,64
0.00041720692220975137,5,596
0.0004194381717149776,7,64
0.0004195404655809499,7316,64
0.00041987927033012163,7,64
0.0004200400718531147,10,64
0.00042165887144683434,2197,1500
0.00042196771386856266,1145,1500
0.0004232548443697803,6149,1500
0.00042375670662873254,7,1500
0.00042387679916702596,14,1500
0.00042425953809332935,10358,64
0.0004242673208866838,11,64
0.00042561982092466377,859,1500
0.00042855944248784987,11,64
0.0004294353509492769,13019,64
0.00042971776028806783,2,64
0.00042986816879931,14141,64
0.0004303448298810863,18,1500
0.00043061969469860103,10,596
0.0004322473881705885,17,64
0.0004324647523754999,11822,64
0.0004326796739846293,13,64
0.00043286331921761785,8959,64
0.0004338692701608042,1660,1500
0.0004341774572221642,14,596
0.00043449720764072005,5019,1500
0.0004349515385572746,12,1500
0.0004361494713608453,4760,596
0.0004364254859033261,7193,1500
0.00043833556103224305,0,1500
0.0004385568875378601,13,1500
0.00043990106688651925,14,64
0.0004425398982134526,15,1500
0.00044261782600364826,13228,1500
0.00044304981931449217,11844,64
0.0004441612970027863,1,1500
0.0004442843316750531,13,1500
0.00044444177978490164,10762,64
0.0004462217473164878,4741,1500
0.00044773968394139,15546,64
0.00044784434181626055,3,64
0.00044897472581644166,14253,64
0.0004492405711673617,6760,64
0.0004503947738198557,4540,1500
0.00045117856178201224,18,1500
0.00045127326996269724,16,1500
0.00045141813389850804,15496,1500
0.00045151745637312204,13629,64
0.00045179110312307936,16819,1500
0.0004527598768293193,18,1500
0.0004527789025296457,13,64
0.00045284726504431726,18860,1500
0.00045285955978313435,13,64
0.0004532539418642344,15533,1500
0.00045517156060310483,16,64
0.000456695796140595,2,64
0.0004573178266643708,2,1500
0.0004573758645869703,11,1500
0.00045921266288437035,9,64
0.0004600111423389043,14,1500
0.00046019828734351307,19057,64
0.00046087614391437416,16,64
0.0004621297673268356,5414,1500
0.00046283637290683936,3,1500
0.0004637472193647828,8797,64
0.000464731166089719,5664,64
0.0004651428790581267,10,1500
0.00046516446315629403,0,1500
0.0004656401373019429,1,1500
0.00046942249703708325,17173,64
0.00047113004338233586,2,1500
0.000471652620287338,18,64
0.0004728175951817507,2824,1500
0.0004731547544169573,360,1500
0.0004735727370265128,2,1500
0.0004744546568284661,15653,596
0.000474824846270726,14582,64
0.00047487366191223743,3,64
0.00047590775932397476,18,64
0.00047728294203749666,522,64
0.0004780927916419057,10,64
0.00047895123766211387,618,596
0.00047946581038444373,11765,1500
0.0004794923906456782,13,64
0.000479556145358852,11846,64
0.00048090128406168395,9,596
0.0004813727503175479,6954,1500
0.0004830077280419311,8755,64
0.0004830209553281366,18776,1500
0.00048425430436027086,7,596
0.0004849837470142663,4,1500
0.0004861796902429814,3686,1500
0.0004862051089837744,6616,64
0.0004866045683636778,19349,64
0.00048687946784591247,13018,1500
0.00048691951246174057,3,64
0.0004872997314658428,7880,1500
0.000489384783436624,12422,64
0.0004894849985299149,7276,596
0.0004911955570903883,19450,1500
0.0004931135606747771,18,1500
0.0004956744767480638,4615,64
0.0004971904971458128,10615,596
0.0004981811458934034,4731,1500
0.000498758981370746,16,64
0.0004988427028327224,0,1500
0.0005002914513764701,19157,64
0.0005004586260839199,10,64
0.0005004817451167906,19612,64
0.000500732161140975,6,64
0.0005023255945120166,122,1500
0.0005023716238951855,3,1500
0.0005041237334440394,17183,596
0.0005041679028054955,3055,1500
0.0005042983114905367,6105,1500
0.0005042984870054607,19136,1500
0.0005066572812639636,347,64
0.0005069820687829184,4561,1500
0.0005082193371315301,19,64
0.0005085640706918636,842,596
0.0005090877378403016,11522,596
0.0005099321049618891,16797,1500
0.0005101141872052069,15,1500
0.0005112910687809037,13,64
0.0005123862584331315,11599,1500
0.0005125988327478098,12682,64
0.0005129301351857547,15839,64
0.0005135192250887462,5343,1500
0.0005146005330183723,4,1500
0.0005149263517087027,8,596
0.0005150911548541965,7974,1500
0.0005167820411403026,17,596
0.0005189396305630377,13391,1500
0.0005201956960349691,4660,64
0.0005203986608976171,17408,64
0.0005224122384793457,12834,1500
0.0005252545746835665,17956,1500
0.0005254136988136544,7916,1500
0.0005262988837950268,17,596
0.0005263933293033578,16,1500
0.0005267413716348815,13,596
0.0005270083498717578,8,596
0.0005282783130627606,14187,1500
0.0005291673232280422,15583,1500
0.0005293820230299275,5,1500
0.0005316039463515417,1,596
0.0005316415946727566,5352,1500
0.0005320746405677109,7480,64
0.0005329480943834692,3,1500
0.0005329769181611777,16,1500
0.0005334374244377882,3,64
0.000536956974517875,12,64
0.0005369604522035799,0,64
0.0005375433438436018,7714,64
0.0005375454822905644,10149,596
0.0005385349653393867,8,596
0.0005390832789186033,8957,596
0.00054009919053202,19,64
0.0005431732457220318,8932,1500
0.0005432458267583206,11,596
0.0005434369736322706,16658,596
0.0005437115152155051,14253,64
0.0005447115104436064,2,1500
0.0005451400345950415,12,64
0.0005488830636865587,19934,1500
0.0005516778316533302,1,64
0.0005519068171673166,12,64
0.0005545256163372705,13065,64
0.000555326894972417,10192,1500
0.0005558353038177707,16412,1500
0.0005562261629613476,8913,1500
0.0005563546831588075,19,596
0.0005591634945796904,3,1500
0.0005594893119698837,2114,64
0.0005596227377881498,3,1500
0.000560493426299711,16647,596
0.0005605127888371936,2970,64
0.0005622988690031003,11465,1500
0.0005625040389297712,6165,1500
0.0005648009125059935,14587,1500
0.0005650806224836502,7679,1500
0.0005666211351002703,10826,596
0.0005667029725342639,859,1500
0.0005668067567307574,17,64
0.0005676888096134276,13852,64
0.0005702362312439703,6,1500
0.0005707916251065719,1,1500
0.0005714130246705079,19991,596
0.0005721662433364213,1,596
0.0005725030558883651,9343,64
0.0005741476051620392,17434,596
0.0005743631795938693,8,596
0.0005746422914618864,18530,596
0.0005755702275865796,13352,1500
0.000575659852035642,14642,1500
0.0005757145523828132,9,1500
0.0005759249060406379,7528,1500
0.0005772290430449869,13,596
0.0005786530611825702,19,1500
0.0005800707753976145,18,596
0.0005808235458251273,17956,64
0.0005812026734598653,6,64
0.0005819741736096101,0,1500
0.0005832315368354453,2,1500
0.0005835933149478676,16,1500
0.0005843285188461506,12493,1500
0.0005864760260862802,17146,64
0.0005884045664871504,6525,64
0.0005889613750600947,1,1500
0.0005891920686678029,16283,1500
0.0005898157192047564,18,596
0.0005911532995218446,18155,1500
0.0005924291066136462,2764,64
0.000593429020534472,2,1500
0.000596887829905914,19552,64
0.0005973229692708407,8731,1500
0.0005974255940010594,8,1500
0.0005984907396709262,18422,64
0.0005991919505766981,18207,1500
0.0005997034090293894,5,1500
0.0005997661873244825,4,64
0.0006012590262473501,12,64
0.0006014142103952082,2211,1500
0.0006036411271219913,11704,596
0.0006041723805197586,8807,1500
0.0006054764992250545,10772,1500
0.0006056036924764695,15,64
0.0006057179353852174,17,1500
0.0006069527889612325,522,64
0.0006081235985894648,9,1500
0.0006083258957854973,5,1500
0.0006098234081568902,2482,64
0.0006102321458455331,0,1500
0.0006102459056199541,7544,1500
0.0006105541656662587,8,1500
0.0006122788531906881,4,64
0.0006134033067628383,11,1500
0.0006154449608391594,4,1500
0.0006173864757337634,11449,1500
0.000618243625922781,19,64
0.0006185273693457578,16203,1500
0.0006204869114257156,2566,596
0.0006214603940577058,14,64
0.0006219357784042003,12041,64
0.0006220509873702852,6,1500
0.0006220953907662745,13352,1500
0.0006224775159307927,15546,1500
0.0006233967144669242,6,596
0.0006237564822577565,15645,64
0.0006242566236205302,14,1500
0.0006247898597064934,9638,1500
0.0006248107518803975,6,1500
0.0006249520781439735,0,1500
0.0006251316481551781,7528,64
0.0006261020325119275,6708,64
0.000626466451167657,2689,64
0.0006271463718041451,11468,1500
0.000630689695640138,7582,64
0.000631112038253314,14227,64
0.0006313120316870818,13373,1500
0.0006314387168964198,15,64
0.0006314900697145687,14,1500
0.0006315977691736193,8,596
0.0006324697107486539,14546,1500
0.0006335594352000033,8,1500
0.0006356990160999848,452,1500
0.0006357868607126954,2332,1500
0.0006359664313965608,14277,1500
0.0006360483410218381,17817,1500
0.0006361749836213259,17,1500
0.0006376658245870968,7,1500
0.0006378851727256049,9,1500
0.0006392008384764542,18,1500
0.0006396995429166098,6,64
0.0006413713944767816,5108,1500
0.000643772415903107,14,1500
0.0006455346725043093,16590,64
0.0006461563441162328,9378,596
0.0006463204918420892,10,596
0.0006480709077548531,16,596
0.0006481247496203886,0,64
0.0006499613951631668,14,1500
0.0006504276109222683,4,1500
0.0006530911918801697,15027,64
0.0006536791319540978,11,1500
0.0006542286239889779,19,596
0.000654782616766653,13,1500
0.0006554761660343525,7,596
0.0006569369837740276,12,1500
0.0006570289936549214,358,64
0.0006571831297801972,18043,1500
0.0006575725419852892,3,1500
0.0006595248216492305,9,64
0.0006604617499440751,8,596
0.0006624012911208726,17,1500
0.0006633740731240783,14838,596
0.0006641340180512803,7510,596
0.0006644957002550887,19824,1500
0.0006664615779309014,1,64
0.0006667002829146843,19468,1500
0.000667491294396652,2231,1500
0.000668047759998648,2,64
0.0006681936930984658,5983,1500
0.0006690875143432268,8,1500
0.0006691596531162731,17,64
0.0006698919297026108,11,1500
0.0006701977023061247,3250,1500
0.0006714315126723134,12724,64
0.000671708322532268,9,1500
0.0006718460550102796,16,64
0.000672009297909577,256,64
0.0006735644294424282,19987,1500
0.0006739760313804006,15,64
0.0006739792867617931,8,1500
0.000675508211955466,14355,64
0.0006759812969541245,2990,1500
0.0006761839359096452,9663,1500
0.0006775039519386665,17,1500
0.0006777946275203957,19338,1500
0.0006797989788576419,15042,64
0.0006798254035465493,16206,596
